conversations	POST	/conversations/messages/outbound	add-an-outbound-message	Add an external outbound call	[{"bearer":["conversations/message.write"]}]
conversations	DELETE	/conversations/messages/{messageId}/schedule	cancel-scheduled-message	Cancel a scheduled message.	[{"bearer":["conversations/message.write"]}]
conversations	POST	/conversations/messages/upload	upload-file-attachments	Upload file attachments	[{"bearer":["conversations/message.write"]}]
conversations	PUT	/conversations/messages/{messageId}/status	update-message-status	Update message status	[{"bearer":["conversations/message.write"]}]
conversations	GET	/conversations/messages/{messageId}/locations/{locationId}/recording	get-message-recording	Get Recording by Message ID	[{"bearer":[]},{"Location-Access":[]}]
conversations	GET	/conversations/locations/{locationId}/messages/{messageId}/transcription	get-message-transcription	Get transcription by Message ID	[{"bearer":[]},{"Location-Access":[]}]
conversations	GET	/conversations/locations/{locationId}/messages/{messageId}/transcription/download	download-message-transcription	Download transcription by Message ID	[{"bearer":[]},{"Location-Access":[]}]
conversations	POST	/conversations/providers/live-chat/typing	live-chat-agent-typing	Agent/Ai-Bot is typing a message indicator for live chat	[{"Location-Access":["conversations/livechat.write"]}]
conversations	POST	/conversations/	create-conversation	Create Conversation	[{"bearer":["conversations.write"]}]
courses	POST	/courses/courses-exporter/public/import	import-courses	Import Courses	[{"bearer":[]}]
custom-fields	GET	/custom-fields/{id}	get-custom-field-by-id	Get Custom Field / Folder By Id	[{"bearer":["locations/customFields.readonly"]}]
custom-fields	PUT	/custom-fields/{id}	update-custom-field	Update Custom Field By Id	[{"bearer":["locations/customFields.write"]}]
custom-fields	DELETE	/custom-fields/{id}	delete-custom-field	Delete Custom Field By Id	[{"bearer":["locations/customFields.write"]}]
custom-fields	GET	/custom-fields/object-key/{objectKey}	get-custom-fields-by-object-key	Get Custom Fields By Object Key	[{"bearer":["locations/customFields.readonly"]}]
custom-fields	POST	/custom-fields/folder	create-custom-field-folder	Create Custom Field Folder	[{"bearer":["locations/customFields.write"]}]
custom-fields	PUT	/custom-fields/folder/{id}	update-custom-field-folder	Update Custom Field Folder Name	[{"bearer":["locations/customFields.write"]}]
custom-fields	DELETE	/custom-fields/folder/{id}	delete-custom-field-folder	Delete Custom Field Folder	[{"bearer":["locations/customFields.write"]}]
custom-fields	POST	/custom-fields/	create-custom-field	Create Custom Field	[{"bearer":["locations/customFields.write"]}]
custom-menus	GET	/custom-menus/{customMenuId}	get-custom-menu-by-id	Get Custom Menu Link	[{"Agency-Access":["custom-menu-link.readonly"]}]
custom-menus	DELETE	/custom-menus/{customMenuId}	delete-custom-menu	Delete Custom Menu Link	[{"Agency-Access":["custom-menu-link.write"]}]
custom-menus	PUT	/custom-menus/{customMenuId}	update-custom-menu	Update Custom Menu Link	[{"Agency-Access":["custom-menu-link.write"]}]
custom-menus	GET	/custom-menus/	get-custom-menus	Get Custom Menu Links	[{"Agency-Access":["custom-menu-link.readonly"]}]
custom-menus	POST	/custom-menus/	create-custom-menu	Create Custom Menu Link	[{"Agency-Access":["custom-menu-link.write"]}]
email-isv	POST	/email/verify	verify-email	Email Verification	[{"Location-Access":[]}]
emails	GET	/emails/schedule	fetch-campaigns	Get Campaigns	[{"Location-Access":["emails/schedule.readonly"]}]
emails	POST	/emails/builder	create-template	Create a new template	[{"Location-Access":["emails/builder.write"]}]
emails	GET	/emails/builder	fetch-template	Fetch email templates	[{"Location-Access":["emails/builder.readonly"]}]
emails	DELETE	/emails/builder/{locationId}/{templateId}	delete-template	Delete a template	[{"Location-Access":[]}]
emails	POST	/emails/builder/data	update-template	Update a template	[{"Location-Access":["emails/builder.write"]}]
forms	GET	/forms/submissions	get-forms-submissions	Get Forms Submissions	[{"bearer":["forms.readonly"]}]
forms	POST	/forms/upload-custom-files	upload-to-custom-fields	Upload files to custom fields	[{"bearer":["forms.write"]},{"Location-Access":["forms.write"]}]
forms	GET	/forms/	get-forms	Get Forms	[{"bearer":["forms.readonly"]}]
funnels	POST	/funnels/lookup/redirect	create-redirect	Create Redirect	[{"Location-Access":["funnels/redirect.write"]}]
funnels	PATCH	/funnels/lookup/redirect/{id}	update-redirect-by-id	Update Redirect By Id	[{"Location-Access":["funnels/redirect.write"]}]
funnels	DELETE	/funnels/lookup/redirect/{id}	delete-redirect-by-id	Delete Redirect By Id	[{"Location-Access":["funnels/redirect.write"]}]
funnels	GET	/funnels/lookup/redirect/list	fetch-redirects-list	Fetch List of Redirects	[{"Location-Access":["funnels/redirect.readonly"]}]
funnels	GET	/funnels/funnel/list	getFunnels	Fetch List of Funnels	[{"Location-Access":[]}]
funnels	GET	/funnels/page	getPagesByFunnelId	Fetch list of funnel pages	[{"Location-Access":[]}]
funnels	GET	/funnels/page/count	getPagesCountByFunnelId	Fetch count of funnel pages	[{"Location-Access":[]}]
invoices	POST	/invoices/template	create-invoice-template	Create template	[{"Location-Access":["invoices/template.write"]},{"Agency-Access":["invoices/template.write"]}]
invoices	GET	/invoices/template	list-invoice-templates	List templates	[{"Location-Access":["invoices/template.readonly"]},{"Agency-Access":["invoices/template.readonly"]}]
invoices	GET	/invoices/template/{templateId}	get-invoice-template	Get an template	[{"Location-Access":["invoices/template.readonly"]},{"Agency-Access":["invoices/template.readonly"]}]
invoices	PUT	/invoices/template/{templateId}	update-invoice-template	Update template	[{"Location-Access":["invoices/template.write"]},{"Agency-Access":["invoices/template.write"]}]
invoices	DELETE	/invoices/template/{templateId}	delete-invoice-template	Delete template	[{"Location-Access":["invoices/template.write"]},{"Agency-Access":["invoices/template.write"]}]
invoices	PATCH	/invoices/template/{templateId}/late-fees-configuration	update-invoice-template-late-fees-configuration	Update template late fees configuration	[{"Location-Access":[]},{"Agency-Access":[]}]
invoices	PATCH	/invoices/template/{templateId}/payment-methods-configuration	update-invoice-payment-methods-configuration	Update template late fees configuration	[{"Location-Access":[]},{"Agency-Access":[]}]
invoices	POST	/invoices/schedule	create-invoice-schedule	Create Invoice Schedule	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	GET	/invoices/schedule	list-invoice-schedules	List schedules	[{"Location-Access":["invoices/schedule.readonly"]},{"Agency-Access":["invoices/schedule.readonly"]}]
invoices	GET	/invoices/schedule/{scheduleId}	get-invoice-schedule	Get an schedule	[{"Location-Access":["invoices/schedule.readonly"]},{"Agency-Access":["invoices/schedule.readonly"]}]
invoices	PUT	/invoices/schedule/{scheduleId}	update-invoice-schedule	Update schedule	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	DELETE	/invoices/schedule/{scheduleId}	delete-invoice-schedule	Delete schedule	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	POST	/invoices/schedule/{scheduleId}/updateAndSchedule	update-and-schedule-invoice-schedule	Update scheduled recurring invoice	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
